Name of Area,Minimum Wage Increase,Unemployment Rate,Female Labor Force Participation Rate,Female,African American,Hispanic,Bachelor's or more,Manufacturing,Agriculture and Mining,Immigrant,Poverty Level,Median Age,Median Household Income
Idaho,0,5.59,57.85,49.87,0.57,11.43,25.06558795379571,9.87,5.56,5.92,15.176421846145296,34.9,46767
Illinois,0,6.92,61.32,50.94,14.41,16.04,31.443925601008445,12.6,1.05,13.81,13.79402693875124,36.8,56797
Indiana,0,6.19,59.43,50.78,9.1,6.15,23.192023814723033,18.36,1.45,4.73,14.887209412449476,37.1,48248
Iowa,0,3.92,63.87,50.49,3.0,5.15,25.742049095113828,14.73,3.99,4.48,11.996984215456843,38.1,51843
Kansas,0,4.7,62.82,50.31,5.73,10.74,30.260106702125935,12.82,3.54,6.66,13.34747971397162,36.0,51332
Kentucky,0,5.85,55.37,50.8,7.83,3.13,21.52562899342904,13.6,2.92,3.29,18.255932303265997,38.2,43036
Michigan,1,7.84,57.86,50.93,14.01,4.53,25.93366740535342,16.94,1.35,6.11,16.44716139183368,39.1,48411
Nevada,0,8.17,60.7,49.56,8.22,26.89,22.35234807169562,4.11,1.67,19.12,14.773049442760724,36.6,52800
New Hampshire,0,4.81,64.72,50.64,1.21,2.94,33.6809057469905,13.08,0.81,5.42,8.403686860914924,41.5,64916
New Mexico,0,5.84,56.05,50.51,2.04,46.69,25.806303160041836,5.06,4.36,9.83,19.99322609104868,36.7,44927
North Carolina,0,6.92,58.51,51.28,21.43,8.55,27.26908553060523,12.63,1.42,7.57,17.027502802708007,37.6,46334
North Dakota,0,2.28,65.83,49.27,1.34,2.33,27.205619531602096,7.11,8.86,2.69,11.515683963460866,36.4,53741
Oklahoma,0,4.33,56.25,50.5,7.22,9.12,23.473500363998184,9.76,4.88,5.52,16.34245017225157,36.2,45339
Pennsylvania,0,5.64,58.35,51.21,10.88,5.92,27.541943645424954,12.39,1.38,5.97,12.872287774594131,40.3,52548
Texas,0,5.24,58.36,50.35,11.82,37.9,26.653688887904938,9.36,3.11,16.33,17.226743415293345,33.8,51900
Utah,0,5.02,60.12,49.74,1.11,13.1,30.26402550102384,10.78,2.07,8.22,12.446542295426655,29.6,58821
Virginia,0,4.7,61.6,50.89,19.36,8.14,35.20734761524542,7.46,1.07,11.33,10.957079632962923,37.5,63907
Wisconsin,0,5.28,64.24,50.36,6.24,6.06,26.822821897087504,18.16,2.49,4.67,12.68173049644893,38.7,52413
