Area Name,Minimum Wage Increase,Unemployment Rate,Female Labor Force Participation Rate,Female,African American,Hispanic,Bachelor's or more,Manufacturing,Agriculture and Mining,Immigrant,Poverty Level,Median Age,Median Household Income
Idaho,0,2.7,57.09,49.87,0.69,12.54,27.56804678563873,9.71,5.0,5.96,12.880570513753456,36.4,55785
Illinois,0,3.87,60.44,50.89,14.2,17.12,34.65256031366178,11.99,1.05,14.07,12.198872553752434,38.1,65886
Indiana,0,3.06,59.07,50.72,9.4,6.93,26.456559123330067,18.92,1.28,5.25,13.021822304414103,37.7,56303
Iowa,0,2.51,62.93,50.36,3.71,6.0,28.566288462503316,14.9,3.73,5.3,11.088425320145705,38.2,60523
Kansas,0,2.68,61.58,50.16,5.85,11.88,33.38469278165821,12.42,3.14,7.14,11.603551369246478,36.7,59597
Kentucky,0,3.29,55.01,50.76,8.07,3.66,24.215285849094414,14.44,2.11,3.87,16.790318476835065,38.9,50589
Michigan,1,3.65,57.13,50.78,13.79,5.09,29.135918796268573,18.58,1.16,6.87,14.034017158600399,39.7,57144
Nevada,0,3.91,58.72,49.83,9.12,28.7,24.7318548732207,4.6,1.5,19.4,12.942145390464617,38.0,60365
New Hampshire,0,2.45,63.46,50.47,1.6,3.75,37.04293388675017,12.68,0.75,6.13,7.319949796902955,42.9,76768
New Mexico,0,3.82,53.74,50.48,2.11,48.79,27.328411375181616,4.01,4.06,9.42,18.737090516685193,37.8,49754
North Carolina,0,3.42,57.48,51.32,21.44,9.38,31.255685431220762,12.35,1.27,8.02,14.29721118891256,38.7,54602
North Dakota,0,1.91,65.11,48.78,2.91,3.74,30.047791414512755,6.81,9.28,4.07,10.333850039050265,35.1,64894
Oklahoma,0,3.08,55.82,50.43,7.28,10.63,25.520314125137727,9.49,4.63,6.01,15.214665117331618,36.6,52919
Pennsylvania,0,3.33,58.38,51.02,11.18,7.31,31.429663649545823,11.79,1.33,6.9,12.032829536419802,40.8,61744
Texas,0,3.26,57.95,50.34,12.13,39.34,29.896367404580985,8.49,3.0,17.04,14.409308762622052,34.6,61874
Utah,0,2.44,60.68,49.66,1.19,14.04,34.017944663858266,10.3,1.72,8.46,9.64002753767702,30.8,71621
Virginia,0,2.95,61.08,50.81,19.18,9.37,38.78144730569376,7.05,0.88,12.44,10.239455776197731,38.2,74222
Wisconsin,0,2.39,62.89,50.27,6.41,6.81,30.116730140392168,18.22,2.22,5.0,11.037667880794016,39.5,61747
