"FIPS","Geographic Identifier","Name of Area","Qualifying Name","State/U.S.-Abbreviation (USPS)","Summary Level","Geographic Component","File Identification","Logical Record Number","US","Region","Division","State (Census Code)","State (FIPS)","County","County Subdivision (FIPS)","Place (FIPS Code)","Place (State FIPS + Place FIPS)","Census Tract","Block Group","Consolidated City","American Indian Area/Alaska Native Area/Hawaiian Home Land (Census)","American Indian Area/Alaska Native Area/Hawaiian Home Land (FIPS)","American Indian Trust Land/Hawaiian Home Land Indicator","American Indian Tribal Subdivision (Census)","American Indian Tribal Subdivision (FIPS)","Alaska Native Regional Corporation (FIPS)","Metropolitan and Micropolitan Statistical Area","Combined Statistical Area","Metropolitan Division","Metropolitan Area Central City","Metropolitan/Micropolitan Indicator Flag","New England City and Town Combined Statistical Area","New England City and Town Area","New England City and Town Area Division","Urban Area","Urban Area Central Place","Current Congressional District ***","State Legislative District Upper","State Legislative District Lower","Voting District","ZIP Code Tabulation Area (3-digit)","ZIP Code Tabulation Area (5-digit)","Subbarrio (FIPS)","School District (Elementary)","School District (Secondary)","School District (Unified)","Urban/Rural","Principal City Indicator","Traffic Analysis Zone","Urban Growth Area","Tribal Tract","Tribal Block Group","Public Use Microdata Area - 5% File","Public Use Microdata Area - 1% File","Total Population:","Total Population: Male","Total Population: Female","% Total Population: Male","% Total Population: Female","Median Age:","Median Age: Male Population","Median Age: Female Population","Total Population:","Total Population: White Alone","Total Population: Black or African American Alone","Total Population: American Indian and Alaska Native Alone","Total Population: Asian Alone","Total Population: Native Hawaiian and Other Pacific Islander Alone","Total Population: Some Other Race Alone","Total Population: Two or More Races","% Total Population: White Alone","% Total Population: Black or African American Alone","% Total Population: American Indian and Alaska Native Alone","% Total Population: Asian Alone","% Total Population: Native Hawaiian and Other Pacific Islander Alone","% Total Population: Some Other Race Alone","% Total Population: Two or More Races","Total Population","Total Population: Not Hispanic or Latino","Total Population: Not Hispanic or Latino: White Alone","Total Population: Not Hispanic or Latino: Black or African American Alone","Total Population: Not Hispanic or Latino: American Indian and Alaska Native Alone","Total Population: Not Hispanic or Latino: Asian Alone","Total Population: Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone","Total Population: Not Hispanic or Latino: Some Other Race Alone","Total Population: Not Hispanic or Latino: Two or More Races","Total Population: Hispanic or Latino","Total Population: Hispanic or Latino: White Alone","Total Population: Hispanic or Latino: Black or African American Alone","Total Population: Hispanic or Latino: American Indian and Alaska Native Alone","Total Population: Hispanic or Latino: Asian Alone","Total Population: Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone","Total Population: Hispanic or Latino: Some Other Race Alone","Total Population: Hispanic or Latino: Two or More Races","% Total Population: Not Hispanic or Latino","% Total Population: Not Hispanic or Latino: White Alone","% Total Population: Not Hispanic or Latino: Black or African American Alone","% Total Population: Not Hispanic or Latino: American Indian and Alaska Native Alone","% Total Population: Not Hispanic or Latino: Asian Alone","% Total Population: Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone","% Total Population: Not Hispanic or Latino: Some Other Race Alone","% Total Population: Not Hispanic or Latino: Two or More Races","% Total Population: Hispanic or Latino","% Total Population: Hispanic or Latino: White Alone","% Total Population: Hispanic or Latino: Black or African American Alone","% Total Population: Hispanic or Latino: American Indian and Alaska Native Alone","% Total Population: Hispanic or Latino: Asian Alone","% Total Population: Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone","% Total Population: Hispanic or Latino: Some Other Race Alone","% Total Population: Hispanic or Latino: Two or More Races","Population 25 Years and Over:","Population 25 Years and Over: Less than High School","Population 25 Years and Over: High School Graduate (Includes Equivalency)","Population 25 Years and Over: Some College","Population 25 Years and Over: Bachelor's Degree","Population 25 Years and Over: Master's Degree","Population 25 Years and Over: Professional School Degree","Population 25 Years and Over: Doctorate Degree","% Population 25 Years and Over: Less than High School","% Population 25 Years and Over: High School Graduate (Includes Equivalency)","% Population 25 Years and Over: Some College","% Population 25 Years and Over: Bachelor's Degree","% Population 25 Years and Over: Master's Degree","% Population 25 Years and Over: Professional School Degree","% Population 25 Years and Over: Doctorate Degree","Population 16 Years and Over:","Population 16 Years and Over: in Labor Force","Population 16 Years and Over: in Labor Force: in Armed Forces","Population 16 Years and Over: in Labor Force: Civilian","Population 16 Years and Over: in Labor Force: Civilian: Employed","Population 16 Years and Over: in Labor Force: Civilian: Unemployed","Population 16 Years and Over: Not in Labor Force","% Population 16 Years and Over: in Labor Force","% Population 16 Years and Over: in Labor Force: in Armed Forces","% Population 16 Years and Over: in Labor Force: Civilian","% Population 16 Years and Over: in Labor Force: Civilian: Employed","% Population 16 Years and Over: in Labor Force: Civilian: Unemployed","% Population 16 Years and Over: Not in Labor Force","Female Population 16 Years and Over:","Female Population 16 Years and Over: in Labor Force","Female Population 16 Years and Over: in Labor Force: in Armed Forces","Female Population 16 Years and Over: in Labor Force: Civilian","Female Population 16 Years and Over: in Labor Force: Civilian: Employed","Female Population 16 Years and Over: in Labor Force: Civilian: Unemployed","Female Population 16 Years and Over: Not in Labor Force","% Female Population 16 Years and Over: in Labor Force","% Female Population 16 Years and Over: in Labor Force: in Armed Forces","% Female Population 16 Years and Over: in Labor Force: Civilian","% Female Population 16 Years and Over: in Labor Force: Civilian: Employed","% Female Population 16 Years and Over: in Labor Force: Civilian: Unemployed","% Female Population 16 Years and Over: Not in Labor Force","Total Employed Civilian Population 16 Years and Over","Total Employed Civilian Population 16 Years and Over: Agriculture, Forestry, Fishing and Hunting, and Mining","Total Employed Civilian Population 16 Years and Over: Construction","Total Employed Civilian Population 16 Years and Over: Manufacturing","Total Employed Civilian Population 16 Years and Over: Wholesale Trade","Total Employed Civilian Population 16 Years and Over: Retail Trade","Total Employed Civilian Population 16 Years and Over: Transportation and Warehousing, and Utilities","Total Employed Civilian Population 16 Years and Over: Information","Total Employed Civilian Population 16 Years and Over: Finance and Insurance, and Real Estate and Rental  and Leasing","Total Employed Civilian Population 16 Years and Over: Professional, Scientific, and Management, and  Administrative and Waste Management Services","Total Employed Civilian Population 16 Years and Over: Educational Services, and Health Care and Social  Assistance","Total Employed Civilian Population 16 Years and Over: Arts, Entertainment, and Recreation, and  Accommodation and Food Services","Total Employed Civilian Population 16 Years and Over: Other Services, Except Public Administration","Total Employed Civilian Population 16 Years and Over: Public Administration","% Total Employed Civilian Population 16 Years and Over: Agriculture, Forestry, Fishing and Hunting, and Mining","% Total Employed Civilian Population 16 Years and Over: Construction","% Total Employed Civilian Population 16 Years and Over: Manufacturing","% Total Employed Civilian Population 16 Years and Over: Wholesale Trade","% Total Employed Civilian Population 16 Years and Over: Retail Trade","% Total Employed Civilian Population 16 Years and Over: Transportation and Warehousing, and Utilities","% Total Employed Civilian Population 16 Years and Over: Information","% Total Employed Civilian Population 16 Years and Over: Finance and Insurance, and Real Estate and Rental  and Leasing","% Total Employed Civilian Population 16 Years and Over: Professional, Scientific, and Management, and  Administrative and Waste Management Services","% Total Employed Civilian Population 16 Years and Over: Educational Services, and Health Care and Social  Assistance","% Total Employed Civilian Population 16 Years and Over: Arts, Entertainment, and Recreation, and  Accommodation and Food Services","% Total Employed Civilian Population 16 Years and Over: Other Services, Except Public Administration","% Total Employed Civilian Population 16 Years and Over: Public Administration","Median Household Income (In 2013 Inflation Adjusted Dollars)","Population Under 18 Years of Age for Whom Poverty Status Is Determined:","Population Under 18 Years of Age for Whom Poverty Status Is Determined: Living in Poverty","Population Under 18 Years of Age for Whom Poverty Status Is Determined: At or Above Poverty Level","% Population Under 18 Years of Age for Whom Poverty Status Is Determined: Living in Poverty","% Population Under 18 Years of Age for Whom Poverty Status Is Determined: At or Above Poverty Level","Population Age 18 to 64 for Whom Poverty Status  Is Determined:","Population Age 18 to 64 for Whom Poverty Status  Is Determined: Living in Poverty","Population Age 18 to 64 for Whom Poverty Status  Is Determined: At or Above Poverty Level","% Population Age 18 to 64 for Whom Poverty Status  Is Determined: Living in Poverty","% Population Age 18 to 64 for Whom Poverty Status  Is Determined: At or Above Poverty Level","Population Age 65 and Over for Whom Poverty  Status Is Determined:","Population Age 65 and Over for Whom Poverty  Status Is Determined: Living in Poverty","Population Age 65 and Over for Whom Poverty  Status Is Determined: At or Above Poverty Level","% Population Age 65 and Over for Whom Poverty  Status Is Determined: Living in Poverty","% Population Age 65 and Over for Whom Poverty  Status Is Determined: At or Above Poverty Level","Total Population:","Total Population: Native Born","Total Population: Foreign Born","Total Population: Foreign Born: Naturalized Citizen","Total Population: Foreign Born: Not a Citizen","% Total Population: Native Born","% Total Population: Foreign Born","% Total Population: Foreign Born: Naturalized Citizen","% Total Population: Foreign Born: Not a Citizen"
Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A02001_001,SE_A02001_002,SE_A02001_003,PCT_SE_A02001_002,PCT_SE_A02001_003,SE_A01004_001,SE_A01004_002,SE_A01004_003,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,PCT_SE_A03001_002,PCT_SE_A03001_003,PCT_SE_A03001_004,PCT_SE_A03001_005,PCT_SE_A03001_006,PCT_SE_A03001_007,PCT_SE_A03001_008,SE_A04001_001,SE_A04001_002,SE_A04001_003,SE_A04001_004,SE_A04001_005,SE_A04001_006,SE_A04001_007,SE_A04001_008,SE_A04001_009,SE_A04001_010,SE_A04001_011,SE_A04001_012,SE_A04001_013,SE_A04001_014,SE_A04001_015,SE_A04001_016,SE_A04001_017,PCT_SE_A04001_002,PCT_SE_A04001_003,PCT_SE_A04001_004,PCT_SE_A04001_005,PCT_SE_A04001_006,PCT_SE_A04001_007,PCT_SE_A04001_008,PCT_SE_A04001_009,PCT_SE_A04001_010,PCT_SE_A04001_011,PCT_SE_A04001_012,PCT_SE_A04001_013,PCT_SE_A04001_014,PCT_SE_A04001_015,PCT_SE_A04001_016,PCT_SE_A04001_017,SE_A12001_001,SE_A12001_002,SE_A12001_003,SE_A12001_004,SE_A12001_005,SE_A12001_006,SE_A12001_007,SE_A12001_008,PCT_SE_A12001_002,PCT_SE_A12001_003,PCT_SE_A12001_004,PCT_SE_A12001_005,PCT_SE_A12001_006,PCT_SE_A12001_007,PCT_SE_A12001_008,SE_A17002_001,SE_A17002_002,SE_A17002_003,SE_A17002_004,SE_A17002_005,SE_A17002_006,SE_A17002_007,PCT_SE_A17002_002,PCT_SE_A17002_003,PCT_SE_A17002_004,PCT_SE_A17002_005,PCT_SE_A17002_006,PCT_SE_A17002_007,SE_A17002B_001,SE_A17002B_002,SE_A17002B_003,SE_A17002B_004,SE_A17002B_005,SE_A17002B_006,SE_A17002B_007,PCT_SE_A17002B_002,PCT_SE_A17002B_003,PCT_SE_A17002B_004,PCT_SE_A17002B_005,PCT_SE_A17002B_006,PCT_SE_A17002B_007,SE_A17004_001,SE_A17004_002,SE_A17004_003,SE_A17004_004,SE_A17004_005,SE_A17004_006,SE_A17004_007,SE_A17004_008,SE_A17004_009,SE_A17004_010,SE_A17004_011,SE_A17004_012,SE_A17004_013,SE_A17004_014,PCT_SE_A17004_002,PCT_SE_A17004_003,PCT_SE_A17004_004,PCT_SE_A17004_005,PCT_SE_A17004_006,PCT_SE_A17004_007,PCT_SE_A17004_008,PCT_SE_A17004_009,PCT_SE_A17004_010,PCT_SE_A17004_011,PCT_SE_A17004_012,PCT_SE_A17004_013,PCT_SE_A17004_014,SE_A14006_001,SE_A13003A_001,SE_A13003A_002,SE_A13003A_003,PCT_SE_A13003A_002,PCT_SE_A13003A_003,SE_A13003B_001,SE_A13003B_002,SE_A13003B_003,PCT_SE_A13003B_002,PCT_SE_A13003B_003,SE_A13003C_001,SE_A13003C_002,SE_A13003C_003,PCT_SE_A13003C_002,PCT_SE_A13003C_003,SE_A06001_001,SE_A06001_002,SE_A06001_003,SE_A06001_004,SE_A06001_005,PCT_SE_A06001_002,PCT_SE_A06001_003,PCT_SE_A06001_004,PCT_SE_A06001_005
"16","04000US16","Idaho","Idaho","id","040","00","ACSSF","0000001",,,,,"16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1583364,793708,789656,50.13,49.87,34.9,34.1,35.8,1583364,1455692,8957,19984,20141,2216,36915,39459,91.94,0.57,1.26,1.27,0.14,2.33,2.49,1583364,1402463,1324568,8267,16390,19467,2117,1311,30343,180901,131124,690,3594,674,99,35604,9116,88.57,83.66,0.52,1.04,1.23,0.13,0.08,1.92,11.43,8.28,0.04,0.23,0.04,0.01,2.25,0.58,1000946,112071,278646,359336,172377,54722,13830,9964,11.2,27.84,35.9,17.22,5.47,1.38,1,1201999,766649,3270,763379,696190,67189,435350,63.78,0.27,63.51,57.92,5.59,36.22,604036,349409,445,348964,320696,28268,254627,57.85,0.07,57.77,53.09,4.68,42.15,696190,38682,50925,68694,19266,85442,32257,12941,37223,66760,155457,61089,29603,37851,5.56,7.31,9.87,2.77,12.27,4.63,1.86,5.35,9.59,22.33,8.77,4.25,5.44,46767,420622,81019,339603,19.26,80.74,931788,142827,788961,15.33,84.67,200357,16452,183905,8.21,91.79,1583364,1489560,93804,33010,60794,94.08,5.92,2.08,3.84
"17","04000US17","Illinois","Illinois","il","040","00","ACSSF","0000001",,,,,"17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12848554,6304099,6544455,49.06,50.94,36.8,35.5,38.2,12848554,9320910,1851524,27548,609923,2979,769968,265702,72.54,14.41,0.21,4.75,0.02,5.99,2.07,12848554,10787848,8126804,1825101,14733,605095,2446,17221,196448,2060706,1194106,26423,12815,4828,533,752747,69254,83.96,63.25,14.2,0.11,4.71,0.02,0.13,1.53,16.04,9.29,0.21,0.1,0.04,0,5.86,0.54,8509739,1082381,2308986,2442576,1657947,739404,180829,97616,12.72,27.13,28.7,19.48,8.69,2.12,1.15,10124119,6718236,19300,6698936,5998320,700616,3405883,66.36,0.19,66.17,59.25,6.92,33.64,5211312,3195696,3118,3192578,2879746,312832,2015616,61.32,0.06,61.26,55.26,6,38.68,5998320,63113,310368,756029,184209,655654,348569,126311,447732,666163,1379821,538646,286928,234777,1.05,5.17,12.6,3.07,10.93,5.81,2.11,7.46,11.11,23,8.98,4.78,3.91,56797,3044377,606606,2437771,19.93,80.07,7909776,1029937,6879839,13.02,86.98,1592913,135790,1457123,8.52,91.48,12848554,11073828,1774726,818967,955759,86.19,13.81,6.37,7.44
"18","04000US18","Indiana","Indiana","in","040","00","ACSSF","0000001",,,,,"18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6514861,3206295,3308566,49.22,50.78,37.1,35.8,38.4,6514861,5510618,592954,14975,107563,1852,150197,136702,84.59,9.1,0.23,1.65,0.03,2.31,2.1,6514861,6114073,5286405,584570,12023,106770,1538,9396,113371,400788,224213,8384,2952,793,314,140801,23331,93.85,81.14,8.97,0.18,1.64,0.02,0.14,1.74,6.15,3.44,0.13,0.05,0.01,0,2.16,0.36,4258878,544348,1500702,1226108,632094,258886,55880,40860,12.78,35.24,28.79,14.84,6.08,1.31,0.96,5099339,3283407,4052,3279355,2963879,315476,1815932,64.39,0.08,64.31,58.12,6.19,35.61,2616698,1555177,511,1554666,1413726,140940,1061521,59.43,0.02,59.41,54.03,5.39,40.57,2963879,43031,171832,544081,76829,339488,155430,46866,156757,228778,688595,264959,140224,107009,1.45,5.8,18.36,2.59,11.45,5.24,1.58,5.29,7.72,23.23,8.94,4.73,3.61,48248,1566974,342185,1224789,21.84,78.16,3919306,566878,3352428,14.46,85.54,830879,60818,770061,7.32,92.68,6514861,6206801,308060,107555,200505,95.27,4.73,1.65,3.08
"19","04000US19","Iowa","Iowa","ia","040","00","ACSSF","0000001",,,,,"19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3062553,1516152,1546401,49.51,50.49,38.1,36.7,39.4,3062553,2802839,91754,9440,55878,1389,43024,58229,91.52,3,0.31,1.82,0.05,1.4,1.9,3062553,2904842,2702157,89485,7418,55450,1314,2424,46594,157711,100682,2269,2022,428,75,40600,11635,94.85,88.23,2.92,0.24,1.81,0.04,0.08,1.52,5.15,3.29,0.07,0.07,0.01,0,1.33,0.38,2026719,183061,666371,655568,359520,112200,29132,20867,9.03,32.88,32.35,17.74,5.54,1.44,1.03,2420102,1650140,2197,1647943,1553030,94913,769962,68.18,0.09,68.09,64.17,3.92,31.82,1231948,786852,367,786485,745956,40529,445096,63.87,0.03,63.84,60.55,3.29,36.13,1553030,62017,94259,228830,45833,182346,72164,29612,117987,108201,374750,117724,68233,51074,3.99,6.07,14.73,2.95,11.74,4.65,1.91,7.6,6.97,24.13,7.58,4.39,3.29,51843,712247,114742,597505,16.11,83.89,1813277,220482,1592795,12.16,87.84,437605,32190,405415,7.36,92.64,3062553,2925492,137061,52095,84966,95.52,4.48,1.7,2.77
"20","04000US20","Kansas","Kansas","ks","040","00","ACSSF","0000001",,,,,"20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2868107,1425049,1443058,49.69,50.31,36,34.7,37.4,2868107,2449273,164299,23958,70408,1887,65807,92475,85.4,5.73,0.84,2.45,0.07,2.29,3.22,2868107,2559985,2230704,160429,19925,69982,1794,2255,74896,308122,218569,3870,4033,426,93,63552,17579,89.26,77.78,5.59,0.69,2.44,0.06,0.08,2.61,10.74,7.62,0.13,0.14,0.01,0,2.22,0.61,1850010,188272,508652,593271,363386,143301,32858,20270,10.18,27.49,32.07,19.64,7.75,1.78,1.1,2222215,1509187,17775,1491412,1387071,104341,713028,67.91,0.8,67.11,62.42,4.7,32.09,1127429,708292,1909,706383,659363,47020,419137,62.82,0.17,62.65,58.48,4.17,37.18,1387071,49160,86797,177830,38298,154482,65714,31242,82650,118853,341664,109912,64098,66371,3.54,6.26,12.82,2.76,11.14,4.74,2.25,5.96,8.57,24.63,7.92,4.62,4.78,51332,712542,133033,579509,18.67,81.33,1704479,222009,1482470,13.03,86.97,367484,27778,339706,7.56,92.44,2868107,2677007,191100,64588,126512,93.34,6.66,2.25,4.41
"21","04000US21","Kentucky","Kentucky","ky","040","00","ACSSF","0000001",,,,,"21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4361333,2145986,2215347,49.2,50.8,38.2,36.8,39.5,4361333,3835013,341576,8811,51411,2019,41980,80523,87.93,7.83,0.2,1.18,0.05,0.96,1.85,4361333,4224993,3753192,337102,7484,50954,1874,3852,70535,136340,81821,4474,1327,457,145,38128,9988,96.87,86.06,7.73,0.17,1.17,0.04,0.09,1.62,3.13,1.88,0.1,0.03,0.01,0,0.87,0.23,2920579,496709,989067,806130,372738,183161,47346,25428,17.01,33.87,27.6,12.76,6.27,1.62,0.87,3454107,2076555,16801,2059754,1857767,201987,1377552,60.12,0.49,59.63,53.78,5.85,39.88,1773215,981900,1354,980546,891267,89279,791315,55.37,0.08,55.3,50.26,5.03,44.63,1857767,54251,113206,252749,49583,217950,109244,31822,101592,143399,453913,157154,87796,85108,2.92,6.09,13.6,2.67,11.73,5.88,1.71,5.47,7.72,24.43,8.46,4.73,4.58,43036,1000101,260542,739559,26.05,73.95,2656084,468388,2187696,17.63,82.37,574727,67272,507455,11.71,88.29,4361333,4217644,143689,50530,93159,96.71,3.29,1.16,2.14
"26","04000US26","Michigan","Michigan","mi","040","00","ACSSF","0000001",,,,,"26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9886095,4851302,5034793,49.07,50.93,39.1,37.8,40.4,9886095,7841011,1385154,54881,251175,2230,107676,243968,79.31,14.01,0.56,2.54,0.02,1.09,2.47,9886095,9438501,7546578,1370247,48747,250084,2002,11066,209777,447594,294433,14907,6134,1091,228,96610,34191,95.47,76.34,13.86,0.49,2.53,0.02,0.11,2.12,4.53,2.98,0.15,0.06,0.01,0,0.98,0.35,6594586,730483,2006233,2147652,1049930,486283,106937,67068,11.08,30.42,32.57,15.92,7.37,1.62,1.02,7865350,4864014,4597,4859417,4242948,616469,3001336,61.84,0.06,61.78,53.94,7.84,38.16,4048428,2342455,607,2341848,2074982,266866,1705973,57.86,0.01,57.85,51.25,6.59,42.14,4242948,57301,202160,718926,105814,492062,175033,69484,233820,391156,1026926,400751,206172,163343,1.35,4.76,16.94,2.49,11.6,4.13,1.64,5.51,9.22,24.2,9.45,4.86,3.85,48411,2264279,534584,1729695,23.61,76.39,6034479,980011,5054468,16.24,83.76,1366369,111387,1254982,8.15,91.85,9886095,9281858,604237,301523,302714,93.89,6.11,3.05,3.06
"32","04000US32","Nevada","Nevada","nv","040","00","ACSSF","0000001",,,,,"32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2730066,1377138,1352928,50.44,49.56,36.6,36,37.3,2730066,1948808,224424,29446,202157,16841,200115,108275,71.38,8.22,1.08,7.4,0.62,7.33,3.97,2730066,1995969,1457795,216109,24313,199106,16174,4228,78244,734097,491013,8315,5133,3051,667,195887,30031,73.11,53.4,7.92,0.89,7.29,0.59,0.15,2.87,26.89,17.99,0.3,0.19,0.11,0.02,7.18,1.1,1816959,279245,522148,609433,268804,94708,28645,13976,15.37,28.74,33.54,14.79,5.21,1.58,0.77,2143541,1414220,9474,1404746,1229604,175142,729321,65.98,0.44,65.53,57.36,8.17,34.02,1066193,647155,1138,646017,570484,75533,419038,60.7,0.11,60.59,53.51,7.08,39.3,1229604,20534,79759,50594,25557,144770,61084,20511,70049,131038,192427,315554,56750,60977,1.67,6.49,4.11,2.08,11.77,4.97,1.67,5.7,10.66,15.65,25.66,4.62,4.96,52800,651893,140720,511173,21.59,78.41,1697840,234641,1463199,13.82,86.18,340926,27953,312973,8.2,91.8,2730066,2208135,521931,225718,296213,80.88,19.12,8.27,10.85
"33","04000US33","New Hampshire","New Hampshire","nh","040","00","ACSSF","0000001",,,,,"33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1319171,651106,668065,49.36,50.64,41.5,40.7,42.4,1319171,1240404,16011,2588,29337,214,8788,21829,94.03,1.21,0.2,2.22,0.02,0.67,1.65,1319171,1280354,1212922,14534,2200,29219,214,1977,19288,38817,27482,1477,388,118,0,6811,2541,97.06,91.95,1.1,0.17,2.21,0.02,0.15,1.46,2.94,2.08,0.11,0.03,0.01,0,0.52,0.19,913191,74514,267913,263193,194439,84598,15880,12654,8.16,29.34,28.82,21.29,9.26,1.74,1.39,1074477,743855,1416,742439,690769,51670,330622,69.23,0.13,69.1,64.29,4.81,30.77,548314,354868,116,354752,332424,22328,193446,64.72,0.02,64.7,60.63,4.07,35.28,690769,5594,47584,90367,20275,88947,27485,14110,44418,69701,168332,57439,29467,27050,0.81,6.89,13.08,2.94,12.88,3.98,2.04,6.43,10.09,24.37,8.32,4.27,3.92,64916,276058,30757,245301,11.14,88.86,823017,68880,754137,8.37,91.63,179427,11222,168205,6.25,93.75,1319171,1247613,71558,37070,34488,94.58,5.42,2.81,2.61
