treat,age,education,black,hispanic,married,nodegree,re74,re75,re78,u74,u75
0.00E+000,2.30E+001,1.00E+001,1.00E+000,0.00E+000,0.00E+000,1.00E+000,0.00E+000,0.00E+000,0.00E+000,1,1
0.00E+000,2.60E+001,1.20E+001,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,1.24E+004,1,1
0.00E+000,2.20E+001,9.00E+000,1.00E+000,0.00E+000,0.00E+000,1.00E+000,0.00E+000,0.00E+000,0.00E+000,1,1
0.00E+000,1.80E+001,9.00E+000,1.00E+000,0.00E+000,0.00E+000,1.00E+000,0.00E+000,0.00E+000,1.07E+004,1,1
0.00E+000,4.50E+001,1.10E+001,1.00E+000,0.00E+000,0.00E+000,1.00E+000,0.00E+000,0.00E+000,1.18E+004,1,1
0.00E+000,1.80E+001,9.00E+000,1.00E+000,0.00E+000,0.00E+000,1.00E+000,0.00E+000,0.00E+000,9.23E+003,1,1
0.00E+000,2.40E+001,8.00E+000,0.00E+000,0.00E+000,0.00E+000,1.00E+000,0.00E+000,0.00E+000,1.06E+004,1,1
0.00E+000,3.40E+001,1.10E+001,1.00E+000,0.00E+000,1.00E+000,1.00E+000,0.00E+000,0.00E+000,6.04E+003,1,1
0.00E+000,2.40E+001,4.00E+000,0.00E+000,1.00E+000,0.00E+000,1.00E+000,0.00E+000,0.00E+000,3.88E+003,1,1
0.00E+000,3.60E+001,1.00E+001,1.00E+000,0.00E+000,0.00E+000,1.00E+000,0.00E+000,0.00E+000,0.00E+000,1,1
0.00E+000,2.10E+001,1.40E+001,1.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,5.78E+003,1,1
0.00E+000,2.80E+001,9.00E+000,1.00E+000,0.00E+000,0.00E+000,1.00E+000,0.00E+000,0.00E+000,0.00E+000,1,1
0.00E+000,2.70E+001,7.00E+000,1.00E+000,0.00E+000,1.00E+000,1.00E+000,0.00E+000,0.00E+000,0.00E+000,1,1
0.00E+000,1.90E+001,1.10E+001,0.00E+000,0.00E+000,0.00E+000,1.00E+000,0.00E+000,0.00E+000,0.00E+000,1,1
0.00E+000,2.00E+001,8.00E+000,1.00E+000,0.00E+000,0.00E+000,1.00E+000,0.00E+000,0.00E+000,0.00E+000,1,1
0.00E+000,3.40E+001,1.20E+001,1.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,2.11E+003,1,1
0.00E+000,2.40E+001,1.00E+001,1.00E+000,0.00E+000,0.00E+000,1.00E+000,0.00E+000,0.00E+000,7.62E+003,1,1
0.00E+000,2.20E+001,8.00E+000,0.00E+000,1.00E+000,0.00E+000,1.00E+000,0.00E+000,0.00E+000,9.92E+003,1,1
0.00E+000,2.50E+001,1.10E+001,1.00E+000,0.00E+000,0.00E+000,1.00E+000,0.00E+000,0.00E+000,4.20E+003,1,1
0.00E+000,3.90E+001,9.00E+000,1.00E+000,0.00E+000,0.00E+000,1.00E+000,0.00E+000,0.00E+000,0.00E+000,1,1
0.00E+000,1.90E+001,9.00E+000,1.00E+000,0.00E+000,1.00E+000,1.00E+000,0.00E+000,0.00E+000,1.67E+004,1,1
0.00E+000,4.40E+001,9.00E+000,1.00E+000,0.00E+000,0.00E+000,1.00E+000,0.00E+000,0.00E+000,9.72E+003,1,1
0.00E+000,2.70E+001,8.00E+000,1.00E+000,0.00E+000,0.00E+000,1.00E+000,0.00E+000,0.00E+000,3.78E+003,1,1
0.00E+000,2.50E+001,8.00E+000,1.00E+000,0.00E+000,0.00E+000,1.00E+000,0.00E+000,0.00E+000,3.52E+003,1,1
0.00E+000,3.10E+001,1.00E+001,1.00E+000,0.00E+000,0.00E+000,1.00E+000,0.00E+000,0.00E+000,1.70E+004,1,1
0.00E+000,3.40E+001,1.00E+001,1.00E+000,0.00E+000,1.00E+000,1.00E+000,0.00E+000,0.00E+000,0.00E+000,1,1
0.00E+000,2.10E+001,7.00E+000,0.00E+000,1.00E+000,0.00E+000,1.00E+000,0.00E+000,0.00E+000,0.00E+000,1,1
0.00E+000,3.30E+001,1.20E+001,1.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,5.97E+003,1,1
0.00E+000,1.80E+001,1.00E+001,0.00E+000,1.00E+000,0.00E+000,1.00E+000,0.00E+000,0.00E+000,1.86E+003,1,1
0.00E+000,2.60E+001,1.20E+001,1.00E+000,0.00E+000,1.00E+000,0.00E+000,0.00E+000,0.00E+000,6.19E+003,1,1
0.00E+000,3.10E+001,1.20E+001,1.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,7.28E+003,1,1
0.00E+000,3.50E+001,1.00E+001,1.00E+000,0.00E+000,0.00E+000,1.00E+000,0.00E+000,0.00E+000,4.46E+002,1,1
0.00E+000,2.00E+001,1.20E+001,1.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,1,1
