re78,treat,age,education,married,black,hispanic,nodegree,re74,re75
0,0,47,12,0,0,0,0,0,0
0,0,50,12,1,1,0,0,0,0
0,0,44,12,0,0,0,0,0,0
0,0,28,12,1,1,0,0,0,0
0,0,54,12,1,0,0,0,0,0
0,0,55,12,1,0,1,0,0,0
0,0,47,12,1,0,0,0,0,0
0,0,25,12,0,1,0,0,0,0
0,0,44,12,1,0,0,0,0,0
0,0,50,12,1,1,0,0,0,0
4.7287,0,23,12,0,1,0,0,0,0
0,0,49,14,1,0,0,0,0,0
0,0,55,14,1,0,0,0,0,0
0,0,34,14,1,1,0,0,0,0
11.8218,0,34,16,1,0,0,0,0,0
0,0,55,13,1,0,1,0,0,0
0,0,52,12,1,0,0,0,0,0
0,0,52,15,1,0,0,0,0,0
0,0,30,16,1,0,0,0,0,0
0,0,21,12,0,0,0,0,0,0
0,0,30,17,0,0,0,0,0,0
0,0,44,12,1,0,0,0,0,0
0,0,46,12,0,0,0,0,0,0
0,0,53,17,1,0,0,0,0,0
9.0141,0,26,16,0,0,0,0,0,0
13.2995,0,49,12,1,0,0,0,0,0
1.921,0,39,15,1,0,0,0,0,0
11.8218,0,26,17,1,0,0,0,0,0
0,0,32,16,1,0,0,0,0,0
0,0,34,12,1,0,0,0,0,0
0,0,31,14,1,0,0,0,0,0
8.8664,0,39,17,1,0,1,0,0,0
0,0,40,17,1,0,0,0,0,0
0,0,31,12,1,0,0,0,0,0
28.0768,0,27,13,1,0,0,0,0,0
0,0,48,12,1,0,0,0,0,0
0,0,41,13,1,0,0,0,0,0
0,0,26,14,0,0,0,0,0,0
0,0,50,17,0,0,0,0,0,0
12.9301,0,48,12,1,0,0,0,0,0
0,0,45,16,1,0,0,0,0,0
0,0,37,13,1,0,0,0,0,0
0,0,33,12,1,0,0,0,0,0
0,0,31,12,1,0,0,0,0,0
17.7327,0,36,12,1,1,0,0,0,0
0,0,44,13,1,0,0,0,0,0
0,0,28,17,1,0,0,0,0,0
0,0,30,17,1,0,0,0,0,0
0,0,42,16,1,0,0,0,0,0
0,0,30,12,1,0,0,0,0,0
0,0,27,16,1,0,0,0,0,0
0,0,37,12,1,0,0,0,0,0
0,0,37,12,1,0,0,0,0,0
22.1659,0,45,12,1,0,0,0,0,0
0,0,35,16,1,0,0,0,0,0
66.4977,0,37,17,1,0,0,0,0,0
0,0,27,17,1,0,0,0,0,0
0,0,47,14,1,0,0,0,0,0
0,0,48,12,1,0,0,0,0,0
0,0,42,12,1,0,0,0,0,0
0,0,43,12,1,0,0,0,0,0
0,0,46,12,1,0,0,0,0,0
0,0,46,12,1,0,0,0,0,0
0,0,46,12,1,0,0,0,0,0
8.3964,0,29,16,1,0,0,0,0,0
0,0,39,13,1,0,0,0,0,0
0,0,32,12,1,0,0,0,0,0
0,0,48,16,1,0,0,0,0,0
0,0,48,16,1,0,0,0,0,0
0,0,41,13,1,0,0,0,0,0
0,0,42,13,1,0,0,0,0,0
0,0,42,13,1,0,0,0,0,0
0,0,42,13,1,0,0,0,0,0
0,0,54,13,1,0,0,0,0,0
0,0,29,14,1,0,0,0,0,0
0,0,54,12,1,0,0,0,0,0
0,0,54,12,1,0,0,0,0,0
0,0,26,14,1,0,0,0,0,0
36.9432,0,43,17,1,0,0,0,0,0
0,0,54,12,1,0,0,0,0,0
0,0,37,12,1,0,0,0,0,0
0,0,54,16,1,0,0,0,0,0
0,0,48,17,1,0,0,0,0,0
0,0,44,12,1,0,0,0,0,0
0,0,54,12,1,0,0,0,0,0
0,0,38,12,1,0,0,0,0,0
0,0,37,13,1,0,0,0,0,0
0,0,27,17,1,0,0,0,0,0
0,0,51,12,1,0,0,0,0,0
0,0,39,12,1,0,0,0,0,0
0,0,55,14,1,0,0,0,0,0
0,0,54,13,1,0,0,0,0,0
0,0,54,13,1,0,0,0,0,0
0,0,34,12,1,0,0,0,0,0
0,0,50,14,1,0,0,0,0,0
0,0,50,12,1,0,0,0,0,0
3.6574,0,21,14,0,0,1,0,0,0.0716
0,0,26,12,1,0,0,0,0,0.0716
2.6599,0,21,13,0,0,0,0,0,0.6929
0,0,23,16,1,0,0,0,0,1.5218
14.7773,0,21,15,0,0,0,0,0,3.2226
5.3198,0,23,14,0,0,0,0,0,3.4016
0,0,27,16,1,0,0,0,0,4.8339
26.5991,0,25,12,1,0,0,0,0,5.729
7.3886,0,27,17,0,0,0,0,0,6.0871
10.3441,0,55,12,1,0,0,0,0,6.2661
