re78,treat,age,education,married,black,hispanic,nodegree,re74,re75,u74,u75
0,0,47,12,0,0,0,0,0,0,1,1
0,0,50,12,1,1,0,0,0,0,1,1
0,0,44,12,0,0,0,0,0,0,1,1
0,0,28,12,1,1,0,0,0,0,1,1
0,0,54,12,1,0,0,0,0,0,1,1
0,0,55,12,1,0,1,0,0,0,1,1
0,0,47,12,1,0,0,0,0,0,1,1
0,0,25,12,0,1,0,0,0,0,1,1
0,0,44,12,1,0,0,0,0,0,1,1
0,0,50,12,1,1,0,0,0,0,1,1
4.7287,0,23,12,0,1,0,0,0,0,1,1
0,0,49,14,1,0,0,0,0,0,1,1
0,0,55,14,1,0,0,0,0,0,1,1
0,0,34,14,1,1,0,0,0,0,1,1
11.8218,0,34,16,1,0,0,0,0,0,1,1
0,0,55,13,1,0,1,0,0,0,1,1
0,0,52,12,1,0,0,0,0,0,1,1
0,0,52,15,1,0,0,0,0,0,1,1
0,0,30,16,1,0,0,0,0,0,1,1
0,0,21,12,0,0,0,0,0,0,1,1
0,0,30,17,0,0,0,0,0,0,1,1
0,0,44,12,1,0,0,0,0,0,1,1
0,0,46,12,0,0,0,0,0,0,1,1
0,0,53,17,1,0,0,0,0,0,1,1
9.0141,0,26,16,0,0,0,0,0,0,1,1
13.2995,0,49,12,1,0,0,0,0,0,1,1
1.921,0,39,15,1,0,0,0,0,0,1,1
11.8218,0,26,17,1,0,0,0,0,0,1,1
0,0,32,16,1,0,0,0,0,0,1,1
0,0,34,12,1,0,0,0,0,0,1,1
0,0,31,14,1,0,0,0,0,0,1,1
8.8664,0,39,17,1,0,1,0,0,0,1,1
0,0,40,17,1,0,0,0,0,0,1,1
0,0,31,12,1,0,0,0,0,0,1,1
28.0768,0,27,13,1,0,0,0,0,0,1,1
0,0,48,12,1,0,0,0,0,0,1,1
0,0,41,13,1,0,0,0,0,0,1,1
0,0,26,14,0,0,0,0,0,0,1,1
0,0,50,17,0,0,0,0,0,0,1,1
12.9301,0,48,12,1,0,0,0,0,0,1,1
0,0,45,16,1,0,0,0,0,0,1,1
0,0,37,13,1,0,0,0,0,0,1,1
0,0,33,12,1,0,0,0,0,0,1,1
0,0,31,12,1,0,0,0,0,0,1,1
17.7327,0,36,12,1,1,0,0,0,0,1,1
0,0,44,13,1,0,0,0,0,0,1,1
0,0,28,17,1,0,0,0,0,0,1,1
0,0,30,17,1,0,0,0,0,0,1,1
0,0,42,16,1,0,0,0,0,0,1,1
0,0,30,12,1,0,0,0,0,0,1,1
0,0,27,16,1,0,0,0,0,0,1,1
0,0,37,12,1,0,0,0,0,0,1,1
0,0,37,12,1,0,0,0,0,0,1,1
22.1659,0,45,12,1,0,0,0,0,0,1,1
0,0,35,16,1,0,0,0,0,0,1,1
66.4977,0,37,17,1,0,0,0,0,0,1,1
0,0,27,17,1,0,0,0,0,0,1,1
0,0,47,14,1,0,0,0,0,0,1,1
0,0,48,12,1,0,0,0,0,0,1,1
0,0,42,12,1,0,0,0,0,0,1,1
0,0,43,12,1,0,0,0,0,0,1,1
0,0,46,12,1,0,0,0,0,0,1,1
0,0,46,12,1,0,0,0,0,0,1,1
0,0,46,12,1,0,0,0,0,0,1,1
8.3964,0,29,16,1,0,0,0,0,0,1,1
0,0,39,13,1,0,0,0,0,0,1,1
0,0,32,12,1,0,0,0,0,0,1,1
0,0,48,16,1,0,0,0,0,0,1,1
0,0,48,16,1,0,0,0,0,0,1,1
0,0,41,13,1,0,0,0,0,0,1,1
0,0,42,13,1,0,0,0,0,0,1,1
0,0,42,13,1,0,0,0,0,0,1,1
0,0,42,13,1,0,0,0,0,0,1,1
0,0,54,13,1,0,0,0,0,0,1,1
0,0,29,14,1,0,0,0,0,0,1,1
0,0,54,12,1,0,0,0,0,0,1,1
0,0,54,12,1,0,0,0,0,0,1,1
0,0,26,14,1,0,0,0,0,0,1,1
36.9432,0,43,17,1,0,0,0,0,0,1,1
0,0,54,12,1,0,0,0,0,0,1,1
0,0,37,12,1,0,0,0,0,0,1,1
0,0,54,16,1,0,0,0,0,0,1,1
0,0,48,17,1,0,0,0,0,0,1,1
0,0,44,12,1,0,0,0,0,0,1,1
0,0,54,12,1,0,0,0,0,0,1,1
0,0,38,12,1,0,0,0,0,0,1,1
0,0,37,13,1,0,0,0,0,0,1,1
0,0,27,17,1,0,0,0,0,0,1,1
0,0,51,12,1,0,0,0,0,0,1,1
0,0,39,12,1,0,0,0,0,0,1,1
0,0,55,14,1,0,0,0,0,0,1,1
0,0,54,13,1,0,0,0,0,0,1,1
0,0,54,13,1,0,0,0,0,0,1,1
0,0,34,12,1,0,0,0,0,0,1,1
0,0,50,14,1,0,0,0,0,0,1,1
0,0,50,12,1,0,0,0,0,0,1,1
3.6574,0,21,14,0,0,1,0,0,0.0716,1,0
0,0,26,12,1,0,0,0,0,0.0716,1,0
2.6599,0,21,13,0,0,0,0,0,0.6929,1,0
0,0,23,16,1,0,0,0,0,1.5218,1,0
14.7773,0,21,15,0,0,0,0,0,3.2226,1,0
5.3198,0,23,14,0,0,0,0,0,3.4016,1,0
0,0,27,16,1,0,0,0,0,4.8339,1,0
26.5991,0,25,12,1,0,0,0,0,5.729,1,0
7.3886,0,27,17,0,0,0,0,0,6.0871,1,0
10.3441,0,55,12,1,0,0,0,0,6.2661,1,0
0,0,20,12,1,0,0,0,0,7.1613,1,0
19.2104,0,18,12,1,0,0,0,0,8.0565,1,0
20.6882,0,27,12,1,0,0,0,0,8.2355,1,0
36.9432,0,28,16,1,0,0,0,0,8.9516,1,0
11.8218,0,36,12,1,1,0,0,0,8.9516,1,0
20.6882,0,33,13,1,1,0,0,0,0.7419,1,0
0,0,36,12,1,0,0,0,0,0.7419,1,0
29.5545,0,27,13,1,0,0,0,0,6.1129,1,0
17.7327,0,45,17,1,0,0,0,0,6.1129,1,0
17.7327,0,45,17,1,0,0,0,0,6.1129,1,0
17.7327,0,45,17,1,0,0,0,0,6.1129,1,0
0,0,31,12,1,0,0,0,0,7.9032,1,0
63.5422,0,34,12,1,0,0,0,0,7.9032,1,0
63.5422,0,34,12,1,0,0,0,0,7.9032,1,0
22.1659,0,47,14,1,0,0,0,0,7.9032,1,0
17.7327,0,35,16,1,0,0,0,0,9.6935,1,0
29.5545,0,43,17,1,0,0,0,0,1.1616,1,0
1.2206,0,25,12,1,1,0,0,0,1.4839,1,0
22.3137,0,29,15,0,0,0,0,0,1.4839,1,0
20.6882,0,31,12,1,0,0,0,0,1.4839,1,0
22.1659,0,52,12,1,0,0,0,0,1.4839,1,0
32.51,0,22,16,0,0,0,0,0,2.5581,1,0
28.0768,0,53,15,1,0,0,0,0,4.1694,1,0
36.8988,0,29,17,1,0,0,0,0,5.9597,1,0
39.8986,0,31,13,1,0,0,0,0,5.9597,1,0
29.5545,0,35,12,1,0,0,0,0,6.1387,1,0
23.6436,0,29,16,1,0,0,0,0,6.8548,1,0
31.0323,0,39,12,1,0,0,0,0,8.6452,1,0
0,0,37,14,1,0,0,0,0,2.2258,1,0
22.1659,0,30,14,1,0,0,0,0,2.2258,1,0
41.3763,0,43,17,1,0,0,0,0,2.2516,1,0
39.8986,0,32,17,1,0,0,0,0,6.5484,1,0
