state,year,urate,children,nonwhite,finc,earn,age,ed,work,unearn
11,1991,7.6,0,1,18714.394,18714.394,26,10,1,0
12,1991,7.2,1,0,4838.5683,471.36564,22,9,1,4.3672026
13,1991,6.4,2,0,8178.1938,0,33,11,0,8.1781938
14,1991,9.1,0,1,9369.5705,0,43,11,0,9.3695705
15,1991,8.6,3,1,14706.608,14706.608,23,7,1,0
16,1991,6.8,1,0,21605.044,18854.626,53,7,1,2.7504185
21,1991,7.3,0,1,19146.872,14140.969,52,11,1,5.0059031
22,1991,6.7,0,1,64311.949,63802.874,51,11,1,.50907489
23,1991,7,1,1,17676.211,17676.211,20,11,1,0
31,1991,6.4,2,1,12214.262,2358.0066,32,11,1,9.8562555
32,1991,6,0,0,47475.947,47136.564,51,9,1,.33938326
33,1991,7.2,2,0,12962.555,4713.6564,29,10,1,8.2488987
34,1991,9.3,0,0,7070.4846,0,54,9,0,7.0704846
35,1991,5.5,0,0,0,0,28,11,0,0
41,1991,5.1,0,1,3605.9471,0,27,11,0,3.6059471
42,1991,4.6,1,0,6223.2048,0,37,7,0,6.2232048
43,1991,6.7,1,0,15814.317,0,41,10,0,15.814317
44,1991,4.3,0,0,21211.454,21211.454,45,9,1,0
45,1991,3.6,0,0,13858.15,10558.59,51,7,1,3.2995595
46,1991,2.8,0,0,5038.8987,5038.8987,43,10,1,0
47,1991,4.5,1,0,5185.022,2356.8282,24,11,1,2.8281938
51,1991,6.3,1,0,0,0,24,11,0,0
52,1991,6,3,0,7056.3436,0,38,9,0,7.0563436
53,1991,7.8,2,1,23488.15,21918.502,38,10,1,1.5696476
54,1991,5.9,4,1,5797.7974,0,26,11,0,5.7977974
55,1991,10.6,1,0,13845.187,7924.8348,46,9,1,5.9203524
56,1991,5.8,1,1,15319.383,15319.383,41,11,1,0
57,1991,6.3,1,1,2743.348,0,20,11,0,2.743348
58,1991,5,1,1,15114.339,14494.493,37,11,1,.61984581
59,1991,7.4,0,0,16497.797,16497.797,46,11,1,0
61,1991,7.5,2,0,3224.141,0,46,7,0,3.224141
62,1991,6.7,0,1,20992.269,20033.04,53,3,0,.95922907
63,1991,7.2,2,1,11312.775,8955.9471,42,11,1,2.3568282
64,1991,8.7,0,0,14169.251,14140.969,36,11,1,.02828194
71,1991,7.4,1,0,4963.4802,3087.4449,45,7,1,1.8760352
72,1991,7.2,0,1,4713.6564,3299.5595,39,11,1,1.4140969
73,1991,6.7,0,1,1343.3921,0,41,7,0,1.3433921
74,1991,6.7,0,1,3588.2709,3588.2709,52,0,1,0
81,1991,7.1,2,0,13886.432,0,33,9,0,13.886432
82,1991,6.2,0,1,33409.218,32288.546,50,7,1,1.1206718
83,1991,5.2,1,1,4619.3833,2356.8282,49,9,1,2.2625551
84,1991,5.1,0,0,23568.282,23568.282,51,0,1,0
85,1991,7.1,0,1,0,0,27,11,0,0
86,1991,5.8,0,1,10900.33,0,54,7,0,10.90033
87,1991,5,3,1,6881.9383,0,21,10,0,6.8819383
88,1991,5.6,0,0,824.88987,824.88987,34,11,1,0
91,1991,6.4,0,0,8390.3084,4713.6564,54,9,1,3.676652
92,1991,6.1,3,0,8343.1718,0,31,11,0,8.3431718
93,1991,7.7,1,1,7466.4317,0,46,7,0,7.4664317
94,1991,8.7,0,0,31784.185,353.52423,45,7,0,31.430661
95,1991,2.8,0,0,9193.9868,9191.63,45,3,1,.00235683
11,1992,7.2,0,0,19459.052,19447.612,32,11,1,.01143977
12,1992,7.5,1,0,0,0,27,10,0,0
13,1992,6.7,2,0,68779.341,68753.029,43,9,1,.02631148
14,1992,8.6,3,0,2070.5987,2059.1589,31,7,1,.01143977
15,1992,9,2,0,24463.952,20339.914,35,10,1,4.1240378
16,1992,7.6,0,0,36804.034,32603.35,52,10,1,4.2006842
21,1992,8.6,0,1,11105.731,0,22,11,0,11.105731
22,1992,8.5,0,1,31739.647,25049.669,47,7,0,6.6899786
23,1992,7.6,2,0,39471.789,24481.112,41,7,1,14.990677
31,1992,7.3,1,0,11439.772,11439.772,27,9,1,0
32,1992,6.6,0,0,49733.264,49733.264,25,11,1,0
33,1992,7.6,0,1,21689.808,21689.808,24,11,1,0
34,1992,8.9,0,0,4475.2388,0,21,11,0,4.4752388
35,1992,5.2,1,1,25626.233,0,52,9,0,25.626233
41,1992,5.2,0,1,276.84248,203.62794,23,11,1,.07321454
42,1992,4.7,0,0,17852.908,6406.2723,46,3,1,11.446636
43,1992,5.7,2,0,4919.1019,4575.9088,24,10,1,.34319316
44,1992,5.1,3,0,7398.1005,1415.0998,34,10,1,5.9830007
45,1992,3.2,1,1,33203.938,30887.384,31,10,1,2.3165538
46,1992,3,0,0,1439.1233,0,32,0,0,1.4391233
47,1992,4.3,0,0,12953.254,0,49,7,0,12.953254
51,1992,5.3,0,0,17605.809,13899.323,46,11,1,3.7064861
52,1992,6.7,1,1,60001.604,54453.314,34,0,0,5.5482894
53,1992,8.6,3,1,4392.8724,0,21,10,0,4.3928724
54,1992,6.4,1,0,0,0,32,10,0,0
55,1992,11.4,3,0,0,0,36,11,0,0
56,1992,6,0,1,14512.495,14299.715,52,11,1,.21277976
57,1992,6.3,0,0,0,0,41,11,0,0
58,1992,7,0,0,15268.664,0,49,7,0,15.268664
59,1992,8.3,3,0,4996.8924,0,25,11,0,4.9968924
61,1992,6.9,3,0,8236.6358,0,36,7,0,8.2366358
62,1992,6.4,0,1,45865.478,39124.02,52,11,1,6.7414576
63,1992,7.4,0,0,5825.1319,0,32,10,0,5.8251319
64,1992,8.2,2,1,1194.3122,0,29,11,0,1.1943122
71,1992,7.3,0,1,11439.772,11439.772,45,10,1,0
72,1992,8.2,2,1,11563.321,0,41,10,0,11.563321
73,1992,5.7,0,0,3386.1725,0,50,9,0,3.3861725
74,1992,7.7,0,1,11368.845,11368.845,35,11,1,0
81,1992,6.9,1,0,6489.7826,1707.9579,20,9,1,4.7818247
82,1992,6.5,3,0,32470.649,25167.498,35,10,1,7.3031504
83,1992,5.7,0,0,10638.988,10410.192,31,10,1,.22879544
84,1992,6,2,1,61636.347,45187.099,40,9,1,16.449248
85,1992,7,1,1,3970.7448,85.798289,43,7,1,3.8849465
86,1992,7.6,1,1,23331.415,21415.253,25,11,1,1.9161618
87,1992,5,4,1,5147.8974,0,38,7,0,5.1478974
88,1992,6.7,3,0,11256.736,0,33,11,0,11.256736
91,1992,7.6,0,0,9190.7128,6863.8632,36,11,1,2.3268496
92,1992,7.6,0,0,28908.304,28599.43,54,7,1,.30887384
93,1992,9.3,1,1,15100.499,15100.499,37,0,1,0
94,1992,9.2,2,0,18475.232,18303.635,33,11,1,.17159658
95,1992,4.6,0,1,10295.795,0,21,7,0,10.295795
11,1993,7.9,0,0,12773.356,12773.356,47,7,1,0
12,1993,6.6,0,0,0,0,35,10,0,0
13,1993,5.5,3,0,9921.0104,0,33,10,0,9.9210104
14,1993,6.9,3,1,5795.7716,0,35,7,0,5.7957716
15,1993,7.8,0,0,49427.336,49427.336,22,10,1,0
16,1993,6.3,0,0,29610.862,0,39,10,0,29.610862
21,1993,7.8,0,1,7070.8858,0,47,3,0,7.0708858
22,1993,7.5,0,1,12217.993,2221.4533,41,11,1,9.9965398
23,1993,7.1,2,1,10309.765,10309.765,21,10,1,0
31,1993,6.5,4,1,10340.865,0,28,11,0,10.340865
32,1993,5.4,0,0,7161.9654,1110.7266,24,11,1,6.0512388
33,1993,7.5,7,0,16665.343,5775.7785,33,10,1,10.889564
34,1993,7.1,0,0,5553.6332,0,45,0,0,5.5536332
35,1993,4.7,1,1,11938.09,7108.6505,38,7,1,4.8294394
41,1993,5.1,0,0,5553.6332,5553.6332,23,0,1,0
42,1993,4,2,0,5810.2111,0,21,10,0,5.8102111
43,1993,6.5,2,0,4620.6228,4620.6228,30,11,1,0
44,1993,4.4,0,0,22140.114,0,47,7,0,22.140114
45,1993,3.6,2,0,3998.6159,0,28,11,0,3.9986159
46,1993,2.7,0,0,10551.903,10551.903,50,11,1,0
47,1993,5,0,0,11551.557,11551.557,52,7,1,0
51,1993,5.3,1,0,4993.827,0,32,11,0,4.993827
52,1993,6.2,2,1,1777.1626,1777.1626,39,0,1,0
53,1993,8.6,0,1,25546.713,25546.713,34,11,1,0
54,1993,5.1,0,1,26524.152,26524.152,36,3,1,0
55,1993,10.9,2,0,2679.0727,0,23,9,0,2.6790727
56,1993,4.9,0,0,28101.384,26657.439,49,10,1,1.4439446
57,1993,7.6,1,0,5553.6332,5553.6332,26,10,1,0
58,1993,5.8,1,0,23517.415,2075.9481,40,7,0,21.441467
59,1993,7,1,0,5997.9239,0,24,10,0,5.9979239
61,1993,6.2,1,0,16096.651,16096.651,47,9,1,0
62,1993,5.7,1,1,6997.5779,6997.5779,44,11,1,0
63,1993,7.6,0,1,8441.5225,0,34,11,0,8.4415225
64,1993,6.4,0,0,16692,9863.2526,20,11,0,6.8287474
71,1993,6.2,0,0,25803.291,25546.713,53,11,1,.25657785
72,1993,7.5,0,0,5904.6228,0,42,10,0,5.9046228
73,1993,6.1,2,0,5764.6713,0,40,11,0,5.7646713
74,1993,7.2,2,1,5331.4879,0,49,7,0,5.3314879
81,1993,6.1,4,0,8090.5329,0,32,9,0,8.0905329
82,1993,6.2,2,0,11548.225,0,31,11,0,11.548225
83,1993,5.5,0,0,15661.246,0,39,7,0,15.661246
84,1993,5.3,0,1,3887.5433,3887.5433,21,11,1,0
85,1993,7.7,0,1,34563.592,1288.4429,37,7,1,33.275149
86,1993,6.3,3,0,6904.2768,1332.872,34,11,0,5.5714048
87,1993,3.9,0,0,13350.934,13328.72,26,11,1,.02221453
88,1993,7.3,0,0,40488.208,40488.208,52,9,1,0
